title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,passed
"Tender Bar, The",2021,3108894,10184,1,6.7,33997,106.0,Biography,Drama,,0
The Worst Person in the World,2021,10370710,10193,3,7.7,98952,128.0,Comedy,Drama,Romance,1
There&#39;s Someone Inside Your House,2021,8150814,10147,3,4.9,19836,96.0,Horror,Mystery,Thriller,1
Those Who Wish Me Dead,2021,3215824,10002,1,6.0,72911,100.0,Action,Drama,Thriller,0
Thunder Force,2021,10121392,9635,3,4.6,45640,106.0,Action,Adventure,Comedy,1
Till Death,2021,11804152,10083,0,5.9,26322,88.0,Thriller,,,0
Titane,2021,10944760,10008,2,6.5,56708,108.0,Drama,Horror,Sci-Fi,0
To All the Boys: Always and Forever,2021,10676012,9971,3,6.3,33483,109.0,Comedy,Drama,Romance,1
"Tomorrow War, The",2021,9777666,9962,2,6.6,228933,138.0,Action,Adventure,Drama,0
"United States vs. Billie Holiday, The",2021,8521718,9599,3,6.3,14710,126.0,Biography,Drama,Music,1
Venom Let there be Carnage,2021,7097896,10092,2,5.9,259967,97.0,Action,Sci-Fi,Thriller,0
West Side Story,2021,3581652,10157,3,7.1,95967,156.0,Crime,Drama,Musical,1
Willy&#39;s Wonderland,2021,8114980,9604,3,5.5,38808,88.0,Action,Comedy,Horror,1
Without Remorse,2021,499097,9830,1,5.8,64774,109.0,Action,Drama,Thriller,0
Yes Day,2021,8521876,10579,3,5.7,30190,86.0,Comedy,Family,,1
"Young Lovers, The",2021,13462472,10514,3,6.4,867,114.0,Drama,Romance,,1
Zack Snyder&#39;s Justice League,2021,12361974,9575,3,7.9,439693,242.0,Action,Adventure,Fantasy,1
"hitman&#146;s apprentice, The",2021,6079772,11263,3,6.1,38458,109.0,Action,Thriller,,1
"innocents , The",2021,4028464,10624,1,7.0,25034,117.0,Drama,Fantasy,Horror,0
the fallout,2021,11847410,10220,3,7.0,34044,96.0,Drama,,,1
tick...tick..BOOM!,2021,8721424,10190,3,7.5,119983,115.0,Biography,Comedy,Drama,1
"355, The",2022,8356942,10195,3,5.6,37968,122.0,Action,Thriller,,1
A Fada do Lar,2022,10541410,10568,3,6.7,186,103.0,Comedy,,,1
A Man Called  Otto,2022,7405458,10689,2,7.5,160213,126.0,Comedy,Drama,,0
"Adam Project, The",2022,2463208,10263,1,6.7,232733,106.0,Action,Adventure,Comedy,0
Against the Ice,2022,13873302,11212,0,6.5,28506,102.0,Adventure,Drama,History,0
All Quiet on the Western Front,2022,1016150,10797,0,7.8,247551,148.0,Action,Drama,War,0
All the old knives,2022,3706352,10436,3,6.1,28747,101.0,Mystery,Thriller,,1
Allra s&iacute;&eth;asta vei&eth;ifer&eth;in,2022,15387742,10308,1,6.5,89,95.0,Comedy,,,0
Ambulance,2022,4998632,10303,2,6.1,99088,136.0,Action,Crime,Drama,0
As bestas,2022,15006566,10534,3,7.5,18581,137.0,Drama,Thriller,,1
Athena,2022,15445056,10535,2,6.8,22470,99.0,Action,Drama,Thriller,0
Avatar: The Way Of Water,2022,1630029,10676,3,7.5,497470,192.0,Action,Adventure,Fantasy,1
Babylon,2022,10640346,10730,3,7.1,169092,189.0,Comedy,Drama,History,1
"Bad Guys, The",2022,8115900,10280,3,6.8,59609,100.0,Adventure,Animation,Comedy,1
Badhaai Do,2022,11934846,10400,3,7.0,21166,147.0,Crime,Drama,,1
"Banshees of Inisherin, The",2022,11813216,10620,3,7.7,254779,114.0,Comedy,Drama,,1
Barbarian,2022,15791034,10551,3,7.0,187296,102.0,Horror,Mystery,Thriller,1
"Batman , The",2022,1877830,10241,3,7.8,791399,176.0,Action,Crime,Drama,1
Beavis and Butt-Head do the Universe,2022,14145426,10384,0,7.0,13325,87.0,Animation,Comedy,Sci-Fi,0
Black Panther: Wakanda Forever,2022,9114286,10609,3,6.7,307293,161.0,Action,Adventure,Drama,1
Blackbird,2022,8246646,10461,1,2.7,583,88.0,Action,Romance,Thriller,0
Blade of the 47 Ronin,2022,12610794,10759,3,4.7,1873,107.0,Action,Drama,Fantasy,1
